Depth (m),EDC3_gas_a (yr),CO2 (ppmv),sigma (ppmv),Depth (m).1,EDC3_gas_a (yr).1,CO2 (ppmv).1,Depth (m).2,tentatively synchronized on EDC3_gas_a (yr),CO2 (ppmv).2,sigma (ppmv).1,Depth (m).3,EDC3_gas_a (yr).2,CO2 (ppmv).3,sigma (ppmv).2,Depth (m).4,EDC3_gas_a (yr).3,CO2 (ppmv).4,Depth (m).5,EDC3_gas_a (yr).4,CO2 (ppmv).5,sigma (ppmv).3,Depth (m).6,EDC3_gas_a (yr).5,CO2 (ppmv).6
435.0,11958.0,246.6,0.5,2316.05,171351,196.0,,,,,2897.92,522216.0,235.8,1.2,,,,3129.62,728568.0,205.1,1.1,,,
437.23,12050.0,243.2,0.4,2325.0,172434,190.3,,,,,2899.02,522923.0,233.7,0.7,,,,3129.93,728921.0,205.4,0.8,,,
438.85,12122.0,240.3,0.3,2331.05,173135,189.4,,,,,2900.12,523666.0,230.3,0.8,,,,3131.12,730299.0,204.0,1.6,,,
443.8,12371.0,237.5,0.5,2333.0,173394,190.1,,,,,2901.22,524409.0,227.8,0.6,,,,3131.75,730949.0,204.1,0.8,,,
446.03,12496.0,237.6,0.6,2348.0,175306,207.7,,,,,2902.32,525164.0,224.7,1.9,,,,3132.13,731329.0,204.9,0.8,,,
448.75,12642.0,234.2,0.3,2363.0,177139,213.2,,,,,2903.42,525908.0,222.7,1.0,,,,3132.92,732141.0,203.8,1.0,,,
450.98,12760.0,238.3,1.1,2372.0,178179,217.7,,,,,2904.51,526661.0,221.2,1.2,,,,3133.32,732548.0,205.9,1.7,,,
454.25,12942.0,237.3,0.5,2379.2,179117,198.1,,,,,2905.62,527454.0,220.3,0.5,,,,3134.02,733261.0,203.9,0.7,,,
457.03,13090.0,237.9,0.2,2386.0,180068,199.7,,,,,2906.72,528262.0,220.7,0.9,,,,3134.33,733543.0,204.4,0.3,,,
459.9,13241.0,237.6,0.6,2399.0,182046,203.4,,,,,2907.36,528747.0,214.5,0.5,,,,3135.06,734223.0,205.3,0.4,,,
463.63,13440.0,236.4,0.9,2414.0,184685,210.7,,,,,2907.82,529101.0,211.4,2.2,,,,3135.52,734604.0,207.4,1.9,,,
465.25,13542.0,239.2,0.5,2425.0,186697,231.3,,,,,2908.48,529640.0,204.4,0.6,,,,3136.19,735167.0,201.7,1.2,,,
467.45,13653.0,238.6,0.6,2437.0,188436,231.4,,,,,2908.92,530016.0,200.0,0.8,,,,3136.53,735459.0,201.3,0.8,,,
470.2,13804.0,238.6,0.3,2442.05,189076,220.3,,,,,2909.65,530685.0,195.1,0.7,,,,3137.25,736079.0,204.1,1.0,,,
473.06,13948.0,239.1,0.4,2451.0,190352,218.0,,,,,2910.02,531035.0,193.8,0.8,,,,3137.72,736460.0,209.7,1.8,,,
479.71,14303.0,228.5,0.6,2470.3,192910,226.5,,,,,2910.66,531662.0,190.5,1.7,,,,3138.44,737034.0,208.1,0.7,,,
484.1,14550.0,228.4,0.7,2475.0,193481,220.0,,,,,2911.12,532119.0,199.8,1.2,,,,3138.73,737266.0,211.3,0.8,,,
487.25,14725.0,226.1,0.6,2488.05,195017,226.4,,,,,2912.22,533246.0,199.4,0.8,,,,3139.46,737889.0,210.6,1.4,,,
490.03,14890.0,225.2,0.5,2494.1,195673,241.2,,,,,2913.33,534364.0,205.0,0.9,,,,3139.89,738272.0,206.5,1.7,,,
492.2,15012.0,224.5,0.6,2499.0,196179,242.6,,,,,2914.42,535483.0,206.4,0.7,,,,3140.54,738844.0,200.3,1.6,,,
496.07,15233.0,222.0,0.8,2525.0,198972,250.9,,,,,2915.52,536622.0,212.9,1.3,,,,3140.88,739137.0,197.8,1.5,,,
499.35,15438.0,221.0,0.8,2533.0,199918,239.1,,,,,2916.62,537770.0,211.2,0.7,,,,3141.66,739842.0,185.0,0.9,,,
501.58,15570.0,220.9,0.5,2543.0,201163,247.6,,,,,2917.72,538959.0,205.0,0.8,,,,3142.12,740277.0,178.9,0.3,,,
504.2,15742.0,219.4,0.6,2552.01,202413,244.4,,,,,2918.82,540154.0,203.6,1.2,,,,3142.85,741021.0,178.6,2.4,,,
506.53,15886.0,214.0,0.8,2554.91,202874,231.9,,,,,2919.92,541345.0,208.1,0.8,,,,3143.13,741307.0,176.6,2.4,,,
509.25,16073.0,207.5,0.9,2557.71,203317,232.2,,,,,2921.0,542502.0,210.3,1.6,,,,3143.86,742075.0,177.9,2.1,,,
512.03,16260.0,207.7,0.5,2560.91,203837,228.6,,,,,2922.12,543676.0,209.6,1.6,,,,3144.32,742558.0,182.3,1.3,,,
514.75,16452.0,202.9,0.7,2564.91,204480,226.3,,,,,2923.22,544804.0,209.7,0.8,,,,3144.98,743233.0,181.7,2.7,,,
517.53,16659.0,200.8,1.0,2567.51,204908,229.4,,,,,2924.32,545956.0,204.6,1.9,,,,3145.32,743589.0,180.4,0.7,,,
520.25,16870.0,195.2,0.3,2570.41,205362,231.4,,,,,2925.42,547013.0,202.5,1.6,,,,3146.06,744354.0,181.2,0.9,,,
523.03,17111.0,193.9,0.5,2574.21,205952,238.1,,,,,2926.07,547573.0,208.8,0.7,,,,3146.52,744843.0,182.0,0.9,,,
526.3,17375.0,191.0,0.5,2575.51,206144,237.2,,,,,2926.52,547972.0,213.6,0.9,,,,3147.48,745836.0,180.2,1.2,,,
528.53,17565.0,188.5,0.7,2579.91,206810,230.0,,,,,2927.62,548933.0,215.2,0.5,,,,3148.26,746643.0,183.1,0.4,,,
531.25,17809.0,188.5,0.7,2581.91,207120,240.5,,,,,2928.72,549830.0,219.9,0.5,,,,3148.72,747110.0,180.8,0.3,,,
532.93,17943.0,189.2,0.4,2584.71,207544,242.2,,,,,2929.82,550637.0,221.7,1.4,,,,3149.35,747759.0,180.8,1.3,,,
536.75,18285.0,187.0,0.2,2588.81,208064,244.6,,,,,2930.48,551124.0,222.3,0.9,,,,3149.68,748101.0,180.4,0.8,,,
539.53,18541.0,188.6,0.5,2590.41,208254,243.9,,,,,2930.92,551452.0,226.3,0.9,,,,3150.45,748913.0,181.4,1.3,,,
542.9,18828.0,189.4,0.4,2595.11,208803,247.2,,,,,2931.65,551979.0,222.1,1.1,,,,3150.91,749401.0,182.9,1.8,,,
543.35,18868.0,192.3,0.6,2596.71,208995,252.0,,,,,2932.02,552250.0,220.3,0.3,,,,3151.65,750194.0,184.8,1.6,,,
543.93,18921.0,188.3,0.6,2600.41,209432,246.9,,,,,2933.12,552961.0,223.6,1.1,,,,3151.91,750476.0,184.0,1.4,,,
548.85,19347.0,188.7,0.2,2603.71,209817,239.5,,,,,2934.22,553626.0,224.3,2.2,,,,3152.65,751301.0,186.2,1.9,,,
550.51,19509.0,188.8,0.5,2606.61,210154,257.4,,,,,2935.32,554254.0,226.7,1.2,,,,3153.12,751830.0,190.1,1.3,,,
553.25,19748.0,190.0,0.8,2612.51,210813,243.4,,,,,2936.42,554831.0,233.9,1.5,,,,3153.78,752605.0,188.0,0.3,,,
556.03,19988.0,188.0,0.9,2621.71,211858,251.2,,,,,2937.52,555345.0,241.0,1.4,,,,3154.1,752978.0,196.5,1.8,,,
557.89,20168.0,188.2,0.7,2629.41,212716,241.4,,,,,2938.17,555637.0,243.0,0.8,,,,3154.96,753984.0,191.5,1.7,,,
558.2,20197.0,195.0,0.7,2634.41,213270,240.3,,,,,2938.61,555839.0,249.1,2.1,,,,3155.32,754394.0,195.8,1.5,,,
561.53,20502.0,187.8,0.4,2636.71,213536,242.6,,,,,2939.27,556143.0,244.0,1.5,,,,3156.08,755241.0,200.5,2.0,,,
564.26,20748.0,186.9,0.3,2640.41,213984,247.5,,,,,2939.71,556364.0,250.5,0.8,,,,3156.3,755495.0,201.9,1.4,,,
567.03,21011.0,186.5,0.3,2644.41,214459,251.7,,,,,2940.47,556724.0,245.6,1.3,,,,3157.05,756357.0,206.0,2.2,,,
569.75,21257.0,184.7,1.2,2646.61,214794,251.1,,,,,2940.82,556889.0,240.4,0.9,,,,3157.52,756871.0,210.7,2.3,,,
572.53,21507.0,186.1,0.4,2650.41,215382,245.3,,,,,2941.91,557385.0,238.1,1.2,,,,3158.15,757561.0,215.0,1.5,,,
576.33,21854.0,185.7,1.3,2656.21,216352,240.5,,,,,2943.01,557887.0,234.5,1.0,,,,3158.53,757962.0,219.2,1.4,,,
578.11,22015.0,184.4,0.8,2666.71,218361,214.1,,,,,2943.66,558183.0,229.7,0.4,,,,3158.8,758259.0,215.3,0.7,,,
,,,,2670.41,219116,216.1,,,,,2944.12,558393.0,230.2,0.7,,,,3159.0,758475.0,217.6,1.8,,,
,,,,2674.61,220058,207.1,,,,,2945.22,558929.0,230.3,1.5,,,,3159.35,758883.0,217.9,2.3,,,
,,,,2677.41,220739,208.8,,,,,2946.32,559461.0,228.3,0.9,,,,3159.72,759306.0,214.9,1.2,,,
,,,,2682.61,222030,205.6,,,,,2947.42,559972.0,231.6,1.2,,,,3160.47,760202.0,208.8,0.8,,,
,,,,2691.01,224269,203.3,,,,,2948.52,560459.0,231.9,1.2,,,,3160.71,760500.0,206.9,1.1,,,
,,,,2693.61,224923,215.7,,,,,2949.62,560930.0,234.6,1.5,,,,3161.46,761453.0,206.1,1.9,,,
,,,,2698.01,225909,235.5,,,,,2950.53,561309.0,234.1,0.9,,,,3161.92,762064.0,212.0,0.2,,,
,,,,2701.41,226711,234.5,,,,,2951.82,561846.0,240.1,2.1,,,,3162.55,762871.0,216.0,2.1,,,
,,,,2702.71,227027,233.1,,,,,2952.92,562272.0,242.3,0.5,,,,3162.91,763319.0,215.0,0.9,,,
,,,,2705.61,227776,224.5,,,,,2954.02,562690.0,245.7,1.8,,,,3163.2,763686.0,225.7,3.0,,,
,,,,2711.71,229423,232.4,,,,,2955.12,563115.0,245.8,0.5,,,,3163.4,763934.0,221.4,2.7,,,
,,,,2715.41,230422,233.9,,,,,2956.22,563517.0,247.6,1.5,,,,3163.65,764249.0,224.1,1.4,,,
,,,,2717.71,231066,241.6,,,,,2957.32,563918.0,251.4,1.7,,,,3164.12,764833.0,222.6,0.9,,,
,,,,2732.71,234817,245.2,,,,,2958.42,564311.0,252.4,1.7,,,,3164.84,765735.0,216.8,1.6,,,
,,,,2735.71,235480,252.1,,,,,2959.52,564699.0,252.6,1.0,,,,3165.13,766110.0,215.7,0.5,,,
,,,,2738.71,236114,241.4,,,,,2960.62,565077.0,251.4,0.7,,,,3165.86,767096.0,213.5,0.4,,,
,,,,2741.71,236734,247.4,,,,,2961.72,565466.0,253.7,0.8,,,,3166.32,767737.0,217.7,0.9,,,
,,,,2744.61,237294,243.1,,,,,2962.82,565851.0,254.3,1.6,,,,3166.97,768655.0,222.4,2.1,,,
,,,,2747.61,237868,239.1,,,,,2963.92,566233.0,253.9,0.7,,,,3167.26,769050.0,221.4,1.8,,,
,,,,2751.11,238558,245.6,,,,,2965.01,566619.0,254.5,1.6,,,,3167.6,769514.0,228.1,1.6,,,
,,,,2753.61,239013,245.8,,,,,2966.12,567007.0,253.2,0.9,,,,3167.8,769787.0,226.0,1.6,,,
,,,,2756.21,239477,247.4,,,,,2967.19,567381.0,253.9,1.2,,,,3168.05,770133.0,231.5,1.9,,,
,,,,2759.11,239973,252.8,,,,,2968.32,567777.0,252.8,1.1,,,,3168.29,770447.0,235.6,1.1,,,
,,,,2765.21,240945,259.7,,,,,2969.42,568167.0,253.0,0.6,,,,3168.5,770724.0,238.2,2.2,,,
,,,,2768.2,241366,263.2,,,,,2970.52,568556.0,250.2,0.4,,,,3168.7,770994.0,235.6,2.1,,,
,,,,2773.51,242007,279.0,,,,,2971.62,568946.0,251.3,1.3,,,,3168.9,771260.0,237.7,2.4,,,
,,,,2776.51,242346,280.2,,,,,2972.71,569331.0,250.0,1.3,,,,3169.24,771708.0,229.5,1.5,,,
,,,,2782.71,243071,263.7,,,,,2973.82,569728.0,251.3,1.3,,,,3169.53,772076.0,230.9,1.0,,,
,,,,2785.51,243429,252.3,,,,,2974.92,570139.0,251.8,1.2,,,,3170.25,773043.0,230.0,2.3,,,
,,,,2788.51,243856,249.9,,,,,2976.02,570548.0,251.8,1.3,,,,3170.72,773680.0,233.3,0.9,,,
,,,,2791.5,244347,236.7,,,,,2977.12,570955.0,249.6,0.5,,,,3171.35,774548.0,236.9,0.4,,,
,,,,2794.51,244864,230.4,,,,,2978.22,571367.0,251.6,1.7,,,,3171.73,775051.0,240.5,0.6,,,
,,,,2797.51,245441,219.4,,,,,2979.32,571775.0,250.3,1.0,,,,3172.46,776037.0,238.8,2.0,,,
,,,,2806.51,247681,214.7,,,,,2980.41,572190.0,246.3,1.1,,,,3172.92,776636.0,243.9,0.7,,,
,,,,2815.61,250133,200.2,,,,,2981.52,572619.0,247.7,0.7,,,,3173.65,777556.0,246.3,0.5,,,
,,,,2818.61,251005,213.9,,,,,2982.62,573037.0,249.2,1.1,,,,3173.93,777900.0,246.1,1.1,,,
,,,,2821.51,251864,195.4,,,,,2983.72,573462.0,248.7,0.4,,,,3174.65,778798.0,245.8,2.4,,,
,,,,2824.51,252739,196.7,,,,,2984.82,573902.0,251.8,1.8,,,,3175.11,779364.0,243.9,0.9,,,
,,,,2827.51,253636,195.4,,,,,2985.92,574353.0,251.9,0.7,,,,3175.84,780268.0,248.5,0.6,,,
,,,,2833.81,255498,199.0,,,,,2987.02,574803.0,252.1,1.3,,,,3176.13,780612.0,242.8,0.7,,,
,,,,2836.51,256309,201.9,,,,,2988.12,575265.0,248.9,1.0,,,,3176.89,781535.0,248.7,0.7,,,
,,,,2839.51,257100,204.0,,,,,2989.22,575730.0,252.5,0.5,,,,3177.32,782059.0,246.2,1.1,,,
,,,,2845.51,258661,203.9,,,,,2990.32,576222.0,252.9,1.1,,,,3178.31,783263.0,252.1,2.5,,,
,,,,2851.51,260353,209.6,,,,,2991.42,576723.0,251.3,1.1,,,,3179.05,784147.0,246.9,0.7,,,
,,,,2853.51,260916,205.7,,,,,2992.52,577242.0,251.3,1.1,,,,3179.52,784692.0,250.7,0.2,,,
,,,,2857.51,262092,208.9,,,,,2993.62,577769.0,251.1,0.6,,,,3180.15,785413.0,253.3,2.6,,,
,,,,2860.51,262930,214.6,,,,,2994.72,578305.0,249.1,0.5,,,,3180.51,785789.0,255.4,1.4,,,
,,,,2866.51,264509,228.1,,,,,2995.82,578857.0,252.9,1.1,,,,3181.26,786587.0,260.3,1.3,,,
,,,,2870.51,265653,199.9,,,,,2996.92,579435.0,251.5,1.8,,,,3181.73,787076.0,256.9,0.7,,,
,,,,2872.71,266326,211.7,,,,,2997.65,579821.0,244.1,1.7,,,,3182.43,787805.0,248.1,1.5,,,
,,,,2876.21,267442,188.7,,,,,2998.02,580019.0,243.8,0.9,,,,3182.65,788033.0,247.9,2.7,,,
,,,,2878.5,268181,187.2,,,,,2998.66,580400.0,236.2,0.3,,,,3183.46,788887.0,229.5,0.8,,,
,,,,2881.42,269154,194.2,,,,,2999.12,580695.0,230.3,0.6,,,,3183.91,789381.0,226.3,3.0,,,
,,,,2884.51,270222,198.8,,,,,2999.76,581160.0,225.2,1.6,,,,3184.57,790153.0,218.2,0.8,,,
,,,,2887.51,271256,184.7,,,,,3000.22,581507.0,219.4,0.8,,,,3184.9,790538.0,221.3,1.8,,,
,,,,2890.51,272311,190.4,,,,,3000.86,582000.0,215.4,1.1,,,,3185.66,791491.0,215.4,3.7,,,
,,,,2893.51,273310,193.9,,,,,3001.32,582391.0,209.9,1.2,,,,3186.12,792081.0,205.1,2.5,,,
,,,,2896.51,274321,194.1,,,,,3002.05,583034.0,206.7,0.5,,,,3186.75,792943.0,204.0,1.6,,,
,,,,2899.51,275350,198.4,,,,,3002.42,583413.0,210.6,0.6,,,,3186.98,793260.0,209.0,1.9,,,
,,,,2902.51,276326,193.2,,,,,3005.26,586406.0,224.0,0.9,,,,3187.87,794608.0,199.4,1.7,,,
,,,,2905.51,277361,202.2,,,,,3005.72,586893.0,226.0,1.4,,,,3188.23,795202.0,195.2,2.0,,,
,,,,2908.51,278350,204.5,,,,,3006.45,587647.0,234.4,0.5,,,,3188.98,796467.0,189.3,2.1,,,
,,,,2911.46,279320,211.0,,,,,3006.82,588034.0,238.8,1.0,,,,3189.33,797099.0,188.4,1.4,,,
,,,,2914.51,280269,215.3,,,,,3007.46,588716.0,246.3,1.8,,,,3190.08,798512.0,191.0,2.2,,,
,,,,2919.41,281758,223.7,,,,,3007.92,589224.0,250.2,0.4,,,,,,,,,,
,,,,2926.51,283785,231.3,,,,,3008.56,589868.0,248.1,0.6,,,,,,,,,,
,,,,2932.51,285380,228.0,,,,,3009.02,590335.0,243.6,0.8,,,,,,,,,,
,,,,2935.51,286128,226.4,,,,,3009.57,590893.0,237.4,0.8,,,,,,,,,,
,,,,2939.31,287036,231.4,,,,,3010.85,592279.0,225.7,1.1,,,,,,,,,,
,,,,2941.51,287538,230.4,,,,,3011.22,592697.0,229.4,1.3,,,,,,,,,,
,,,,2944.51,288233,231.0,,,,,3011.87,593415.0,233.2,0.3,,,,,,,,,,
,,,,2953.5,290153,234.9,,,,,3012.28,593870.0,238.1,0.9,,,,,,,,,,
,,,,2956.51,290730,220.4,,,,,3012.96,594639.0,238.0,1.1,,,,,,,,,,
,,,,2959.51,291367,217.1,,,,,3013.42,595189.0,232.9,0.6,,,,,,,,,,
,,,,2964.51,292405,207.6,,,,,3014.06,595950.0,221.2,1.8,,,,,,,,,,
,,,,2967.51,293057,206.0,,,,,3014.52,596515.0,216.4,0.9,,,,,,,,,,
,,,,2970.51,293779,206.7,,,,,3015.25,597443.0,216.3,1.5,,,,,,,,,,
,,,,2973.81,294568,212.7,,,,,3015.62,597966.0,219.0,1.0,,,,,,,,,,
,,,,2979.51,295930,213.1,,,,,3016.26,598833.0,226.0,1.1,,,,,,,,,,
,,,,2986.01,297921,217.1,,,,,3016.72,599434.0,229.4,1.4,,,,,,,,,,
,,,,2988.61,298741,224.4,,,,,3017.82,600882.0,232.5,1.3,,,,,,,,,,
,,,,2991.51,299621,231.0,,,,,3018.92,602278.0,237.9,0.8,,,,,,,,,,
,,,,2994.51,300472,236.1,,,,,3020.02,603673.0,239.1,1.1,,,,,,,,,,
,,,,2997.51,301402,239.0,,,,,3021.12,605076.0,244.5,0.7,,,,,,,,,,
,,,,3000.4,302280,236.0,,,,,3022.19,606374.0,248.5,1.7,,,,,,,,,,
,,,,3003.51,303226,240.2,,,,,3023.32,607708.0,254.6,1.2,,,,,,,,,,
,,,,3007.01,304232,240.7,,,,,3024.42,608929.0,259.2,1.8,,,,,,,,,,
,,,,3009.51,304901,250.2,,,,,3025.52,610136.0,257.7,0.5,,,,,,,,,,
,,,,3012.51,305655,248.6,,,,,3026.62,611319.0,259.6,1.2,,,,,,,,,,
,,,,3015.51,306547,244.8,,,,,3027.72,612514.0,258.0,1.4,,,,,,,,,,
,,,,3018.51,307495,225.8,,,,,3028.82,613709.0,256.0,0.4,,,,,,,,,,
,,,,3022.71,308744,227.8,,,,,3029.92,614923.0,252.5,1.1,,,,,,,,,,
,,,,3024.91,309389,226.2,,,,,3031.02,616227.0,252.4,0.9,,,,,,,,,,
,,,,3027.51,310168,233.2,,,,,3032.09,617544.0,252.3,1.1,,,,,,,,,,
,,,,3030.41,311013,237.8,,,,,3033.22,618955.0,247.9,1.0,,,,,,,,,,
,,,,3033.51,311868,239.0,,,,,3034.32,620338.0,245.4,0.3,,,,,,,,,,
,,,,3036.51,312676,241.9,,,,,3035.42,621760.0,243.0,0.8,,,,,,,,,,
,,,,3039.51,313414,251.6,,,,,3036.52,623214.0,238.6,0.8,,,,,,,,,,
,,,,3042.51,314144,256.7,,,,,3037.62,624690.0,237.3,1.0,,,,,,,,,,
,,,,3045.51,314867,257.1,,,,,3038.26,625570.0,234.3,0.3,,,,,,,,,,
,,,,3048.56,315572,246.8,,,,,3038.72,626215.0,227.8,0.9,,,,,,,,,,
,,,,3051.51,316200,272.6,,,,,3039.36,627211.0,214.9,0.5,,,,,,,,,,
,,,,3054.51,316897,251.6,,,,,3039.82,627999.0,205.0,0.9,,,,,,,,,,
,,,,3057.71,317734,245.2,,,,,3040.53,629446.0,198.7,0.8,,,,,,,,,,
,,,,3060.51,318559,233.4,,,,,3040.92,630295.0,199.9,0.5,,,,,,,,,,
,,,,3063.51,319480,255.8,,,,,3041.65,632001.0,199.5,1.8,,,,,,,,,,
,,,,3066.51,320358,249.2,,,,,3042.01,632856.0,195.6,1.5,,,,,,,,,,
,,,,3072.51,322015,257.2,,,,,3042.74,634592.0,192.1,1.6,,,,,,,,,,
,,,,3075.41,322767,260.4,,,,,3043.12,635489.0,193.9,1.8,,,,,,,,,,
,,,,3078.51,323526,260.3,,,,,3043.74,636957.0,193.0,0.7,,,,,,,,,,
,,,,3081.6,324280,260.5,,,,,3044.22,638127.0,194.3,1.9,,,,,,,,,,
,,,,3084.51,324971,266.2,,,,,3044.93,639848.0,187.7,1.0,,,,,,,,,,
,,,,3087.81,325720,264.0,,,,,3045.32,640760.0,189.1,0.5,,,,,,,,,,
,,,,3090.51,326321,266.1,,,,,3046.05,642405.0,190.2,1.0,,,,,,,,,,
,,,,3093.51,326972,270.1,,,,,3046.42,643204.0,190.4,1.1,,,,,,,,,,
,,,,3096.46,327590,271.9,,,,,3047.12,644662.0,194.1,1.3,,,,,,,,,,
,,,,3099.51,328221,275.1,,,,,3047.52,645470.0,194.6,0.9,,,,,,,,,,
,,,,3105.51,329475,265.0,,,,,3048.16,646723.0,188.6,2.0,,,,,,,,,,
,,,,3109.01,330208,271.7,,,,,3048.62,647588.0,190.5,1.0,,,,,,,,,,
,,,,3111.51,330740,272.6,,,,,3049.36,648946.0,192.1,0.7,,,,,,,,,,
,,,,3114.81,331438,273.1,,,,,3049.72,649598.0,194.8,0.4,,,,,,,,,,
,,,,3117.51,331944,282.4,,,,,3050.45,650891.0,187.8,1.2,,,,,,,,,,
,,,,3119.51,332285,289.1,,,,,3050.82,651556.0,192.0,0.7,,,,,,,,,,
,,,,3120.61,332462,288.4,,,,,3051.55,652802.0,185.8,0.5,,,,,,,,,,
,,,,3123.51,332919,298.6,,,,,3051.92,653448.0,185.3,1.0,,,,,,,,,,
,,,,3126.51,333380,278.1,,,,,3052.56,654473.0,191.3,1.8,,,,,,,,,,
,,,,3129.91,333890,285.8,,,,,3053.02,655202.0,193.2,1.0,,,,,,,,,,
,,,,3132.41,334261,278.6,,,,,3053.73,656286.0,198.4,0.5,,,,,,,,,,
,,,,3135.51,334748,270.5,,,,,3054.12,656882.0,198.7,0.7,,,,,,,,,,
,,,,3138.51,335287,255.7,,,,,3054.85,657923.0,191.3,0.6,,,,,,,,,,
,,,,3141.51,335918,241.9,,,,,3055.22,658474.0,189.2,0.9,,,,,,,,,,
,,,,3145.01,336725,239.6,,,,,3055.93,659524.0,182.4,0.3,,,,,,,,,,
,,,,3147.51,337391,234.2,,,,,3056.32,660084.0,183.9,0.4,,,,,,,,,,
,,,,3153.51,339298,250.1,,,,,3056.96,660981.0,186.6,1.0,,,,,,,,,,
,,,,3156.51,340456,200.7,,,,,3057.42,661650.0,189.8,0.8,,,,,,,,,,
,,,,3159.51,341802,205.2,,,,,3058.13,662669.0,187.8,1.5,,,,,,,,,,
,,,,3162.81,343282,204.8,,,,,3058.52,663206.0,189.0,1.0,,,,,,,,,,
,,,,3165.51,344446,211.9,,,,,3059.25,664192.0,189.1,1.2,,,,,,,,,,
,,,,3169.01,345980,220.3,,,,,3059.61,664690.0,185.8,0.8,,,,,,,,,,
,,,,3174.51,348298,221.1,,,,,,,,,,,,,,,,,,
,,,,3177.81,349688,216.2,,,,,,,,,,,,,,,,,,
,,,,3180.51,350925,209.4,,,,,,,,,,,,,,,,,,
,,,,3183.41,352275,209.2,,,,,,,,,,,,,,,,,,
,,,,3189.51,355302,193.0,,,,,,,,,,,,,,,,,,
,,,,3192.51,356898,186.1,,,,,,,,,,,,,,,,,,
,,,,3195.81,358712,185.8,,,,,,,,,,,,,,,,,,
,,,,3200.01,360957,201.2,,,,,,,,,,,,,,,,,,
,,,,3204.71,363385,206.3,,,,,,,,,,,,,,,,,,
,,,,3210.51,366235,201.9,,,,,,,,,,,,,,,,,,
,,,,3213.71,367856,199.9,,,,,,,,,,,,,,,,,,
,,,,3216.45,369446,214.7,,,,,,,,,,,,,,,,,,
,,,,3219.51,371090,224.6,,,,,,,,,,,,,,,,,,
,,,,3222.51,372646,229.6,,,,,,,,,,,,,,,,,,
,,,,3228.91,376568,227.0,,,,,,,,,,,,,,,,,,
,,,,3231.51,378096,240.0,,,,,,,,,,,,,,,,,,
,,,,3234.51,379696,239.1,,,,,,,,,,,,,,,,,,
,,,,3237.51,381132,246.8,,,,,,,,,,,,,,,,,,
,,,,3240.51,382670,245.8,,,,,,,,,,,,,,,,,,
,,,,3246.41,384534,258.1,,,,,,,,,,,,,,,,,,
,,,,3249.51,385398,264.6,,,,,,,,,,,,,,,,,,
,,,,3252.45,386144,259.2,,,,,,,,,,,,,,,,,,
,,,,3258.51,388062,255.2,,,,,,,,,,,,,,,,,,
,,,,3261.51,389946,250.1,,,,,,,,,,,,,,,,,,
,,,,3264.51,391896,266.3,,,,,,,,,,,,,,,,,,
,,,,3267.51,393591,274.6,,,,,,,,,,,,,,,,,,
,,,,3270.6,395116,277.1,,,,,,,,,,,,,,,,,,
,,,,3273.81,396636,278.0,,,,,,,,,,,,,,,,,,
,,,,3276.51,397911,288.9,,,,,,,,,,,,,,,,,,
,,,,3283.51,401109,279.6,,,,,,,,,,,,,,,,,,
,,,,3287.41,402769,281.2,,,,,,,,,,,,,,,,,,
,,,,3289.45,403609,283.6,,,,,,,,,,,,,,,,,,
,,,,3292.91,404968,276.2,,,,,,,,,,,,,,,,,,
,,,,3299.01,407442,285.5,,,,,,,,,,,,,,,,,,
,,,,3301.4,408475,286.9,,,,,,,,,,,,,,,,,,
,,,,3304.41,409750,277.6,,,,,,,,,,,,,,,,,,
,,,,3310.71,412453,274.6,,,,,,,,,,,,,,,,,,
,,,,3316.46,415167,275.7,,,,,,,,,,,,,,,,,,
,,,,3319.44,416545,279.9,,,,,,,,,,,,,,,,,,
,,,,3322.39,417391,278.0,,,,,,,,,,,,,,,,,,
,,,,3325.39,417923,276.3,,,,,,,,,,,,,,,,,,
,,,,3328.19,418544,276.5,,,,,,,,,,,,,,,,,,
,,,,3331.39,419934,266.6,,,,,,,,,,,,,,,,,,
,,,,3334.39,421443,274.0,,,,,,,,,,,,,,,,,,
,,,,3336.99,423207,273.2,,,,,,,,,,,,,,,,,,
,,,,3340.39,428394,229.7,,,,,,,,,,,,,,,,,,
,,,,3343.39,433925,199.0,,,,,,,,,,,,,,,,,,
,,,,3346.51,437580,201.5,,,,,,,,,,,,,,,,,,
,,,,3346.56,437601,207.8,,,,,,,,,,,,,,,,,,
,,,,3349.51,438986,205.9,,,,,,,,,,,,,,,,,,
